footprint_size	cloud_free_0.5	cloud_free_0.2	cloud_free_0.8	revisit_time	relative_revisit
30.0	0.1280564384315236	0.0019723317584442825	0.49805576199025364	89.05555555555556	4.247557110427887
90.0	0.1043830967777867	0.00128350367954788	0.44426094517024906	29.685185185185187	1.736957586641364
150.0	0.0885859708920431	0.0008772187864615693	0.4038011893512946	17.81111111111111	1.228020712802833
200.0	0.0748854616233386	0.000593843500322497	0.3680738867621122	13.358333333333333	1.0895179594373432
300.0	0.0543927035595889	0.00026891378564216717	0.3100585346421198	8.905555555555555	1.0
400.0	0.0401887935225798	0.00011787347709272957	0.26547810441843506	6.679166666666666	1.0150722152624847
600.0	0.026343620980105	2.6127538275277126e-05	0.21534421930702927	4.4527777777777775	1.0323695364556544
800.0	0.0177215153186065	8.443026224508511e-07	0.1783959560456137	3.339583333333333	1.1509886975314108
1000.0	0.010746150204559	0.0	0.14348904623665756	2.671666666666667	1.5184797120138822
1250.0	0.0067588605839349	0.0	0.1194018652567855	2.1373333333333333	1.9314274487818128
1500.0	0.0043203349259335	0.0	0.1011925491550584	1.781111111111111	2.5179855030723663
1750.0	0.0028132294963205	0.0	0.0878200703994235	1.5266666666666666	3.314505083767186
2000.0	0.001813426693005	0.0	0.0770059464803189	1.3358333333333334	4.499164794149107
3000.0	0.00020652830249017965	0.0	0.0486342371536092	0.8905555555555555	26.33668262594433
5000.0	0.0	0.0	0.0237624104033565	0.5343333333333333	1000.0
7500.0	0.0	0.0	0.0101164994854624	0.3562222222222222	1000.0
10000.0	0.0	0.0	0.0040275121683523	0.26716666666666666	1000.0
